,0,1,2
0,-66,45,True
1,95,-84,True
2,-35,-70,True
3,26,94,True
4,15,20,True
5,66,-3,True
6,-47,-76,True
7,24,-93,True
8,-1,10,True
9,55,95,True
10,96,-100,True
11,78,14,True
12,-32,84,True
13,-42,51,True
14,-74,-19,True
15,-93,-95,True
16,-94,66,True
17,38,-98,True
18,-3,75,True
19,-45,8,True
20,85,-93,True
21,35,-44,True
22,95,12,True
23,26,41,True
24,-41,-12,True
25,-41,73,True
26,-44,94,True
27,17,-26,True
28,-95,6,True
29,42,64,True
30,-75,-53,False
31,61,85,False
32,-25,-70,False
33,90,-15,False
34,84,82,False
35,28,8,False
36,29,71,False
37,-52,-23,False
38,-28,50,False
39,27,29,False
40,0,50,False
41,-92,22,False
42,-38,90,False
43,3,6,False
44,70,-56,False
45,-7,40,False
46,79,98,False
47,72,88,False
48,-5,-78,False
49,12,69,False
50,30,-73,False
51,99,-59,False
52,33,0,False
53,-6,25,False
54,87,-93,False
55,20,-89,False
56,-22,80,False
57,57,51,False
58,48,0,False
59,65,-57,False
60,-57,28,False
61,-42,-97,False
62,97,-49,False
63,38,40,False
64,-41,3,False
65,31,-12,False
66,47,-10,False
67,17,-32,False
68,68,40,False
69,55,86,False
70,-99,-2,False
71,100,89,False
72,31,-67,False
73,32,99,False
74,43,-48,False
75,9,-86,False
76,23,-7,False
77,45,41,False
78,-49,29,False
79,5,24,False
80,-9,6,False
81,-12,-100,False
82,37,38,False
83,59,56,False
84,-16,17,False
85,53,-93,False
86,-42,62,False
87,-55,40,False
88,49,-54,False
89,-77,41,False
90,-35,-92,False
91,72,-82,False
92,-79,-96,False
93,15,-97,False
94,93,93,False
95,-29,-37,False
96,-32,-72,False
97,59,-53,False
98,-12,-26,False
99,-83,-58,False
